,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,P,PPG,PPP,PlayerFirstName,PlayerIDSID,PlayerLastName,PlayerNumber,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType,category
55,0,50.0,4,0.075471698113208,2,0.037735849056604,2,0.037735849056604,16.666666666667,53,G,0.11320754716981,1.0,Sterling,1628425,Brown,23,0.0,6,6,0.11320754716981,16.666666666667,50.0,16.666666666667,1610612749,Milwaukee Bucks,MIL,Milwaukee,2.489629983902,0,50.0,Offensive,2017,Reg,Isolation
56,0,20.0,5,0.13513513513514,1,0.027027027027027,4,0.10810810810811,0.0,37,G,0.081081081081081,0.375,Alex,1627936,Caruso,4,0.0,3,8,0.21621621621622,0.0,12.5,37.5,1610612747,Los Angeles Lakers,LAL,LALakers,4.733729839325,0,30.0,Offensive,2017,Reg,Isolation
57,81,39.473684210526,38,1.5833333333333,15,0.625,23,0.95833333333333,16.0,24,G,2.0,0.95999997854233,Zach,203897,Lavine,8,2.0,48,50,2.0833333333333,14.0,44.0,10.0,1610612741,Chicago Bulls,CHI,Chicago,11.337900161743,201,44.736842105263,Offensive,2017,Reg,Isolation
58,0,0.0,1,0.021739130434783,0,0.0,1,0.021739130434783,0.0,46,C,0.0,0.0,Tyson,2199,Chandler,4,0.0,0,1,0.021739130434783,0.0,0.0,0.0,1610612756,Phoenix Suns,PHX,Phoenix,0.34722200036049,0,0.0,Offensive,2017,Reg,Isolation
59,0,0.0,0,0.0,0,0.0,0,0.0,100.0,51,C-F,0.019607843137255,1.0,Tarik,204028,Black,28,0.0,1,1,0.019607843137255,100.0,100.0,0.0,1610612745,Houston Rockets,HOU,Houston,0.53475898504257,0,0.0,Offensive,2017,Reg,Isolation
60,0,0.0,2,0.051282051282051,0,0.0,2,0.051282051282051,33.333333333333,39,G-F,0.025641025641026,0.33333298563957,Torrey,1628470,Craig,3,0.0,1,3,0.076923076923077,33.333333333333,33.333333333333,0.0,1610612743,Denver Nuggets,DEN,Denver,1.71429002285,0,0.0,Offensive,2017,Reg,Isolation
61,0,0.0,1,0.016393442622951,0,0.0,1,0.016393442622951,0.0,61,G,0.0,0.0,Terrance,1628390,Ferguson,23,0.0,0,2,0.032786885245902,0.0,0.0,50.0,1610612760,Oklahoma City Thunder,OKC,OklahomaCity,1.0752700567245,0,0.0,Offensive,2017,Reg,Isolation
62,0,50.0,6,0.6,3,0.3,3,0.3,28.571428571429,10,G,0.7,1.0,Milton,1628495,Doyle,14,14.285714285714,7,7,0.7,14.285714285714,42.857142857143,0.0,1610612751,Brooklyn Nets,BKN,Brooklyn,12.963000297546,0,50.0,Offensive,2017,Reg,Isolation
63,239,40.0,20,0.37037037037037,8,0.14814814814815,12,0.22222222222222,0.0,54,G,0.2962962962963,0.63999998569489,Tyler,203898,Ennis,10,0.0,16,25,0.46296296296296,0.0,32.0,20.0,1610612747,Los Angeles Lakers,LAL,LALakers,9.0909099578857,42,40.0,Offensive,2017,Reg,Isolation
64,52,66.666666666667,12,0.4,8,0.26666666666667,4,0.13333333333333,0.0,30,G,0.53333333333333,1.0,Tyrone,1627820,Wallace,12,0.0,16,16,0.53333333333333,0.0,50.0,25.0,1610612746,Los Angeles Clippers,LAC,LAClippers,4.8484802246094,214,66.666666666667,Offensive,2017,Reg,Isolation
